Origem,Destino,Companhia Aérea,Tipo de Aeronave,Atraso (min),Tempo de Voo (min),Cancelado,Número de Passageiros,Combustível Estimado (litros)
Fortaleza,Brasília,Gol,Boeing 737,0,177,Não,203,9735.29
Fortaleza,Belo Horizonte,Azul,Airbus A330,6,208,Não,123,6757.87
Curitiba,Fortaleza,Gol,Boeing 777,77,74,Não,134,3062.0
Brasília,Recife,Gol,Boeing 777,0,190,Não,185,5763.22
Salvador,Curitiba,Avianca,Airbus A320,0,108,Não,79,10154.5
Salvador,Curitiba,LATAM,Embraer 195,0,63,Não,83,14707.57
Fortaleza,Belo Horizonte,Azul,Boeing 737,0,186,Não,69,4579.17
Brasília,Rio de Janeiro,Avianca,Boeing 777,0,62,Não,187,10776.16
São Paulo,Fortaleza,LATAM,Boeing 737,5,50,Não,57,13884.34
Rio de Janeiro,Curitiba,Avianca,Embraer 195,0,126,Não,65,6095.17
Belo Horizonte,Recife,Avianca,Boeing 777,0,153,Sim,231,5640.1
Brasília,São Paulo,LATAM,Airbus A320,0,49,Sim,65,2848.74
Rio de Janeiro,Curitiba,Gol,Boeing 777,0,143,Não,142,5176.05
Brasília,Salvador,Gol,Airbus A320,126,235,Não,112,3870.06
Salvador,Belo Horizonte,Avianca,Embraer 195,0,141,Não,231,13910.4
Fortaleza,Rio de Janeiro,Avianca,Boeing 777,133,202,Não,97,7794.91
São Paulo,Recife,Gol,Airbus A320,0,174,Não,138,12932.09
Fortaleza,Brasília,Gol,Airbus A320,0,50,Não,65,14583.12
Fortaleza,Brasília,Azul,Embraer 195,0,230,Não,73,2434.19
Recife,Salvador,LATAM,Airbus A320,0,82,Não,71,6878.73
Salvador,Rio de Janeiro,Avianca,Embraer 195,42,115,Não,60,8223.1
Brasília,Recife,Azul,Embraer 195,0,167,Não,200,7416.4
Curitiba,Brasília,Gol,Embraer 195,0,153,Não,155,10461.47
Fortaleza,Salvador,Azul,Airbus A330,0,191,Não,131,10377.52
Recife,São Paulo,Azul,Embraer 195,0,195,Não,212,10010.07
Brasília,Belo Horizonte,Azul,Airbus A320,128,193,Não,56,13763.54
Salvador,Brasília,Azul,Boeing 777,0,77,Não,67,3267.61
Salvador,São Paulo,Gol,Embraer 195,165,144,Não,142,11928.98
Rio de Janeiro,Fortaleza,Avianca,Airbus A330,0,188,Sim,180,7167.12
São Paulo,Salvador,Azul,Embraer 195,0,225,Não,160,10583.86
Curitiba,Fortaleza,LATAM,Embraer 195,0,208,Não,91,4366.02
Salvador,Rio de Janeiro,Avianca,Boeing 737,0,118,Não,140,12081.81
Salvador,Brasília,Gol,Airbus A330,0,126,Não,91,11953.23
Rio de Janeiro,Curitiba,Gol,Embraer 195,0,154,Não,165,1770.24
Recife,Salvador,Avianca,Boeing 777,0,75,Não,219,1068.52
Curitiba,São Paulo,LATAM,Airbus A330,0,127,Não,196,10725.4
Salvador,Curitiba,LATAM,Boeing 737,0,78,Não,168,6494.23
São Paulo,Belo Horizonte,Avianca,Boeing 737,0,46,Não,75,6174.06
Fortaleza,Belo Horizonte,LATAM,Embraer 195,0,216,Não,75,9625.82
Curitiba,Rio de Janeiro,Azul,Airbus A320,0,156,Não,214,9974.39
São Paulo,Recife,Azul,Airbus A330,0,165,Não,113,4549.38
São Paulo,Salvador,Gol,Airbus A330,130,119,Não,159,2578.09
Salvador,Fortaleza,Azul,Boeing 777,0,73,Não,113,2251.37
Recife,Fortaleza,Gol,Airbus A330,0,142,Não,208,1669.08
Brasília,Recife,Avianca,Airbus A330,0,51,Não,200,11615.32
São Paulo,Fortaleza,Azul,Airbus A320,39,216,Não,140,3601.93
Curitiba,Fortaleza,Azul,Airbus A330,112,142,Não,60,14876.06
Rio de Janeiro,Belo Horizonte,LATAM,Boeing 777,42,153,Não,246,9309.93
Fortaleza,Recife,Gol,Boeing 777,134,75,Não,60,4624.71
São Paulo,Rio de Janeiro,Avianca,Boeing 777,0,84,Não,242,8431.05
São Paulo,Brasília,Avianca,Boeing 737,0,72,Não,148,5612.45
Fortaleza,Brasília,Azul,Embraer 195,0,96,Não,132,10537.67
Belo Horizonte,Recife,Azul,Airbus A330,0,167,Não,225,14305.29
Brasília,Recife,LATAM,Boeing 777,45,140,Não,214,13989.84
Fortaleza,Belo Horizonte,Avianca,Airbus A330,0,174,Não,103,14773.46
Belo Horizonte,Brasília,LATAM,Embraer 195,0,205,Não,200,10296.58
Brasília,Recife,Azul,Boeing 737,0,73,Não,239,13607.31
Salvador,Fortaleza,LATAM,Airbus A330,149,165,Não,164,5328.53
Rio de Janeiro,São Paulo,Avianca,Airbus A320,0,54,Não,78,9413.8
Fortaleza,Salvador,Avianca,Embraer 195,0,68,Não,97,8587.67
Brasília,Recife,LATAM,Embraer 195,110,95,Não,214,9140.92
São Paulo,Curitiba,Avianca,Airbus A330,0,111,Não,195,13570.7
Rio de Janeiro,Belo Horizonte,Gol,Embraer 195,0,203,Não,53,5602.19
Fortaleza,Rio de Janeiro,Avianca,Embraer 195,0,171,Não,86,4363.28
Belo Horizonte,Salvador,LATAM,Embraer 195,0,104,Não,180,3578.69
São Paulo,Belo Horizonte,LATAM,Airbus A330,76,155,Não,117,7044.84
Curitiba,Recife,Gol,Airbus A320,0,174,Não,164,10448.8
Fortaleza,São Paulo,LATAM,Boeing 737,0,156,Não,193,1940.9
Curitiba,Brasília,Avianca,Boeing 777,0,156,Não,114,8063.44
Rio de Janeiro,Recife,Azul,Airbus A320,93,49,Não,55,8931.45
Fortaleza,Recife,Gol,Airbus A320,0,144,Não,105,12034.99
Curitiba,Brasília,Gol,Airbus A330,49,219,Não,97,12030.72
Salvador,São Paulo,LATAM,Boeing 737,0,122,Não,143,2897.89
Curitiba,Fortaleza,LATAM,Embraer 195,0,47,Não,208,4058.2
Curitiba,São Paulo,LATAM,Boeing 737,91,127,Não,216,1717.0
Curitiba,Brasília,Azul,Boeing 777,0,73,Não,158,13991.23
Rio de Janeiro,Brasília,Azul,Airbus A320,0,96,Não,175,3880.99
Salvador,Rio de Janeiro,Azul,Embraer 195,0,229,Não,53,6440.91
Fortaleza,Salvador,Azul,Embraer 195,0,207,Não,207,6442.07
Fortaleza,Belo Horizonte,Gol,Airbus A320,120,239,Não,61,10700.88
Recife,Rio de Janeiro,LATAM,Airbus A320,0,110,Não,110,7812.96
Curitiba,Belo Horizonte,LATAM,Boeing 777,0,172,Não,62,13266.31
São Paulo,Fortaleza,Gol,Airbus A330,0,124,Não,159,11555.72
Belo Horizonte,Curitiba,Gol,Airbus A330,0,94,Não,55,8003.5
Salvador,Recife,LATAM,Airbus A330,0,132,Não,221,12220.05
Curitiba,Salvador,LATAM,Boeing 737,0,164,Não,244,5837.19
Belo Horizonte,São Paulo,LATAM,Embraer 195,0,229,Não,128,14240.49
Brasília,Belo Horizonte,LATAM,Boeing 777,0,60,Não,142,12386.39
São Paulo,Belo Horizonte,LATAM,Airbus A320,41,123,Sim,132,7107.19
Brasília,Belo Horizonte,Gol,Airbus A330,0,56,Não,249,1150.71
Belo Horizonte,Recife,Gol,Boeing 737,0,164,Não,97,9296.73
Brasília,São Paulo,Azul,Boeing 777,0,106,Não,238,2520.94
Curitiba,Brasília,Gol,Airbus A320,0,132,Não,127,11296.19
Belo Horizonte,Rio de Janeiro,Azul,Airbus A330,0,172,Não,77,1520.7
Salvador,Curitiba,Avianca,Embraer 195,71,187,Não,186,2060.77
Fortaleza,Recife,Avianca,Embraer 195,21,193,Não,112,14018.2
Recife,Salvador,Gol,Embraer 195,0,45,Não,54,14969.49
Fortaleza,Brasília,Azul,Airbus A330,0,80,Não,75,10966.32
Brasília,Recife,LATAM,Airbus A330,156,143,Não,175,14204.77
Curitiba,São Paulo,Avianca,Boeing 737,151,78,Não,52,9472.55
Fortaleza,Brasília,Azul,Airbus A330,0,180,Não,96,7553.83
Fortaleza,Curitiba,Azul,Embraer 195,84,237,Não,140,7083.15
Belo Horizonte,Brasília,Azul,Airbus A320,0,66,Não,100,3505.93
Curitiba,Belo Horizonte,Gol,Airbus A320,0,177,Não,204,11238.73
Recife,Brasília,Azul,Airbus A330,72,68,Não,108,2753.61
Curitiba,Rio de Janeiro,LATAM,Boeing 777,0,229,Não,198,14469.3
Rio de Janeiro,Brasília,Avianca,Boeing 777,0,152,Não,87,7280.43
Fortaleza,Salvador,Gol,Airbus A320,120,223,Não,148,9024.8
Recife,Curitiba,Avianca,Airbus A320,0,166,Não,131,6857.21
Belo Horizonte,Rio de Janeiro,Avianca,Embraer 195,0,124,Não,129,9743.18
São Paulo,Belo Horizonte,Gol,Boeing 737,0,129,Sim,174,10395.08
Fortaleza,Curitiba,Avianca,Embraer 195,113,223,Não,132,9313.4
Rio de Janeiro,Recife,Gol,Airbus A320,74,202,Não,116,2912.67
Rio de Janeiro,Recife,LATAM,Boeing 737,0,100,Não,172,8296.81
Curitiba,Recife,Azul,Airbus A320,0,78,Não,226,11589.72
Salvador,Recife,LATAM,Boeing 737,144,168,Não,221,7634.75
Recife,Salvador,Gol,Airbus A330,0,169,Não,165,6738.2
Belo Horizonte,Rio de Janeiro,Azul,Embraer 195,7,138,Não,73,13281.96
Rio de Janeiro,Recife,Avianca,Boeing 737,0,159,Não,61,3010.59
Curitiba,Brasília,LATAM,Airbus A330,13,179,Não,72,12896.87
Curitiba,Fortaleza,Azul,Embraer 195,147,69,Não,189,13156.35
Rio de Janeiro,Curitiba,Gol,Airbus A320,0,55,Não,162,14194.46
São Paulo,Salvador,Avianca,Boeing 737,113,87,Sim,175,12601.94
Salvador,Curitiba,Azul,Airbus A330,0,233,Não,112,1357.45
Rio de Janeiro,Recife,LATAM,Embraer 195,0,194,Não,133,8182.04
Curitiba,Salvador,Gol,Airbus A330,84,139,Não,82,13811.72
Belo Horizonte,Fortaleza,Avianca,Boeing 737,0,151,Não,114,2289.86
Recife,São Paulo,Azul,Boeing 777,0,150,Não,243,1194.89
Salvador,São Paulo,Gol,Embraer 195,0,168,Não,67,7337.22
Fortaleza,Belo Horizonte,Azul,Boeing 777,0,129,Não,119,4894.25
São Paulo,Brasília,LATAM,Airbus A320,0,78,Não,115,1554.28
São Paulo,Recife,Gol,Airbus A320,0,124,Não,123,6536.68
Curitiba,Belo Horizonte,LATAM,Airbus A330,0,229,Não,157,3937.76
Recife,Salvador,Avianca,Boeing 777,0,130,Não,216,2353.68
Recife,Fortaleza,LATAM,Airbus A320,11,129,Não,105,3052.1
Brasília,São Paulo,Gol,Boeing 777,0,111,Não,107,4735.02
Belo Horizonte,Curitiba,Avianca,Boeing 737,169,240,Não,66,5196.76
Brasília,São Paulo,Avianca,Airbus A330,0,169,Não,60,2854.55
Curitiba,Recife,LATAM,Airbus A320,55,162,Não,58,13284.02
Curitiba,Rio de Janeiro,Gol,Embraer 195,0,149,Não,51,7660.51
Curitiba,Recife,Gol,Airbus A320,0,231,Não,142,9746.18
São Paulo,Curitiba,Azul,Airbus A320,174,156,Sim,246,1071.0
Fortaleza,Belo Horizonte,Azul,Embraer 195,122,125,Não,146,2011.08
Recife,São Paulo,Avianca,Boeing 737,0,216,Não,99,11766.35
Curitiba,Brasília,Gol,Boeing 777,52,85,Não,93,10436.94
Fortaleza,São Paulo,LATAM,Airbus A320,0,62,Não,135,8652.56
Salvador,Recife,LATAM,Embraer 195,0,128,Não,98,10226.4
Curitiba,Fortaleza,Gol,Embraer 195,0,66,Não,164,10910.21
Salvador,Rio de Janeiro,Azul,Boeing 737,0,73,Não,148,2516.8
São Paulo,Belo Horizonte,Avianca,Embraer 195,0,167,Não,198,14311.3
Recife,Rio de Janeiro,LATAM,Airbus A330,0,140,Não,165,8559.78
Curitiba,Belo Horizonte,Azul,Boeing 777,9,195,Não,60,8382.26
Brasília,Belo Horizonte,Azul,Airbus A330,0,167,Sim,107,3237.47
Belo Horizonte,Recife,Gol,Boeing 777,0,229,Não,140,9441.67
Rio de Janeiro,Brasília,Gol,Boeing 737,0,56,Não,158,11146.22
São Paulo,Brasília,Gol,Airbus A320,0,69,Não,95,8841.63
Belo Horizonte,Recife,Azul,Boeing 777,0,138,Não,181,13758.9
Salvador,Rio de Janeiro,LATAM,Embraer 195,0,147,Não,106,13834.41
Salvador,São Paulo,LATAM,Airbus A330,0,47,Não,153,5539.63
São Paulo,Recife,LATAM,Airbus A330,112,95,Não,80,6375.63
Belo Horizonte,Curitiba,LATAM,Boeing 777,0,128,Não,161,4141.45
Salvador,Belo Horizonte,LATAM,Boeing 777,0,171,Não,116,1519.07
Recife,Belo Horizonte,Gol,Boeing 777,0,201,Não,160,9252.11
Curitiba,Belo Horizonte,LATAM,Boeing 737,151,170,Não,95,10799.92
Recife,São Paulo,LATAM,Airbus A320,0,235,Não,233,10552.09
Brasília,Rio de Janeiro,LATAM,Airbus A320,0,233,Não,193,9737.44
Rio de Janeiro,Salvador,Avianca,Embraer 195,0,155,Não,122,4146.76
Rio de Janeiro,Fortaleza,Avianca,Airbus A320,0,238,Não,159,1247.63
São Paulo,Recife,Gol,Airbus A330,0,66,Não,134,7056.05
Rio de Janeiro,Recife,LATAM,Boeing 737,0,210,Não,120,2321.1
Fortaleza,Salvador,LATAM,Boeing 737,36,132,Não,230,4183.57
Salvador,Recife,Azul,Boeing 777,0,116,Não,145,11149.12
Salvador,Belo Horizonte,LATAM,Boeing 777,0,217,Não,109,7972.57
Belo Horizonte,São Paulo,Azul,Airbus A320,55,136,Não,135,3727.31
Fortaleza,Curitiba,LATAM,Airbus A330,0,205,Não,226,4670.55
Rio de Janeiro,Belo Horizonte,Gol,Boeing 737,121,213,Não,219,6060.57
Rio de Janeiro,Brasília,Azul,Airbus A330,0,194,Não,186,9872.16
Recife,São Paulo,Avianca,Boeing 777,83,237,Não,79,7089.92
Brasília,Fortaleza,Azul,Airbus A330,0,184,Não,179,2551.92
Rio de Janeiro,Fortaleza,LATAM,Embraer 195,0,75,Sim,224,2968.09
Belo Horizonte,Curitiba,LATAM,Embraer 195,0,143,Não,161,5150.15
Rio de Janeiro,São Paulo,Avianca,Airbus A320,0,98,Não,104,2184.67
São Paulo,Fortaleza,LATAM,Airbus A320,0,180,Não,76,9976.2
Brasília,Curitiba,LATAM,Airbus A330,0,181,Não,250,6378.16
Curitiba,Brasília,Azul,Airbus A330,0,73,Não,84,10338.88
Belo Horizonte,São Paulo,Azul,Boeing 777,0,139,Não,160,11836.24
Belo Horizonte,Recife,Gol,Boeing 777,0,119,Não,110,5843.7
Rio de Janeiro,Belo Horizonte,Avianca,Boeing 737,0,96,Não,218,1772.51
Brasília,São Paulo,Gol,Airbus A320,0,216,Não,119,14149.84
Curitiba,Recife,Azul,Airbus A330,10,55,Não,199,14165.27
Brasília,Curitiba,LATAM,Embraer 195,0,215,Não,152,5815.14
Belo Horizonte,Fortaleza,Gol,Boeing 777,0,68,Não,145,1431.41
Curitiba,Salvador,Azul,Boeing 777,153,174,Não,231,7896.85
Belo Horizonte,Rio de Janeiro,Gol,Boeing 777,0,102,Não,109,1031.61
Fortaleza,Brasília,LATAM,Boeing 737,80,189,Não,181,4072.63
Salvador,Belo Horizonte,Gol,Boeing 737,145,171,Não,95,3561.34
Belo Horizonte,Rio de Janeiro,Azul,Boeing 737,149,181,Não,60,13150.66
Fortaleza,Curitiba,LATAM,Airbus A330,0,205,Não,114,9862.65
Belo Horizonte,Curitiba,Azul,Embraer 195,0,239,Não,180,8111.26
São Paulo,Salvador,Azul,Embraer 195,0,186,Não,179,6108.33
Recife,Brasília,Avianca,Boeing 777,0,188,Não,84,8104.36
Recife,Brasília,Azul,Boeing 777,126,195,Não,119,8591.97
Rio de Janeiro,Recife,LATAM,Boeing 737,161,185,Sim,216,9139.66
Brasília,Recife,LATAM,Boeing 777,0,87,Não,57,8891.01
Belo Horizonte,Fortaleza,LATAM,Airbus A320,0,204,Não,97,1818.55
Belo Horizonte,Curitiba,Avianca,Embraer 195,0,217,Não,119,2602.08
Curitiba,Salvador,LATAM,Boeing 777,0,145,Não,102,1882.28
Curitiba,São Paulo,LATAM,Airbus A320,0,186,Não,191,11695.66
Rio de Janeiro,Belo Horizonte,Avianca,Boeing 777,0,79,Não,211,7880.59
São Paulo,Salvador,Gol,Boeing 737,0,238,Não,206,14827.78
Curitiba,Fortaleza,Azul,Airbus A320,0,109,Não,165,11226.96
Fortaleza,Brasília,Azul,Boeing 777,0,214,Não,157,14666.32
Salvador,Fortaleza,LATAM,Airbus A330,28,233,Não,159,3896.43
São Paulo,Curitiba,Azul,Boeing 737,0,98,Não,101,5904.71
Brasília,Recife,Gol,Boeing 777,0,123,Não,228,10576.19
Fortaleza,Recife,Avianca,Boeing 737,134,190,Não,70,12442.32
Rio de Janeiro,Brasília,Avianca,Boeing 777,0,117,Não,234,12938.38
Fortaleza,São Paulo,Azul,Airbus A330,0,147,Não,171,8294.61
Salvador,Brasília,Gol,Embraer 195,0,103,Não,66,14680.4
Rio de Janeiro,Brasília,Azul,Boeing 777,11,230,Não,221,7598.1
São Paulo,Curitiba,Gol,Airbus A330,114,193,Não,54,6385.28
Rio de Janeiro,Fortaleza,Azul,Embraer 195,0,96,Não,234,1622.51
Curitiba,Fortaleza,Gol,Airbus A320,0,204,Não,235,2306.3
Salvador,Belo Horizonte,Avianca,Boeing 737,0,119,Não,137,7259.87
Brasília,Rio de Janeiro,Gol,Boeing 777,0,102,Não,190,5349.11
Curitiba,Fortaleza,Avianca,Boeing 777,0,113,Não,165,8289.56
Fortaleza,Salvador,Azul,Airbus A330,0,83,Não,217,1038.63
Curitiba,Fortaleza,Azul,Boeing 777,0,235,Sim,153,10814.99
Fortaleza,Salvador,LATAM,Airbus A320,113,222,Não,119,10755.85
São Paulo,Recife,Gol,Embraer 195,20,150,Não,161,11199.27
Fortaleza,Rio de Janeiro,Azul,Boeing 737,0,157,Não,246,1263.15
Belo Horizonte,Curitiba,LATAM,Airbus A330,81,60,Não,209,4118.23
Rio de Janeiro,São Paulo,LATAM,Embraer 195,76,118,Não,81,2972.51
Fortaleza,Curitiba,Gol,Embraer 195,0,50,Não,105,13004.45
Fortaleza,Recife,Gol,Embraer 195,101,76,Sim,142,5980.25
Curitiba,Brasília,Gol,Embraer 195,0,97,Não,132,5243.01
Recife,Fortaleza,Avianca,Boeing 777,0,230,Sim,74,1397.75
Rio de Janeiro,Curitiba,Azul,Boeing 737,0,98,Não,182,7185.91
Curitiba,Recife,Azul,Boeing 737,0,122,Não,211,6319.98
São Paulo,Recife,LATAM,Airbus A320,69,72,Não,199,13099.78
Brasília,Belo Horizonte,Gol,Airbus A320,0,167,Não,236,4598.07
Belo Horizonte,São Paulo,LATAM,Boeing 777,0,149,Não,115,5286.01
Curitiba,Rio de Janeiro,Avianca,Embraer 195,126,58,Não,68,3985.06
Fortaleza,São Paulo,LATAM,Airbus A320,0,50,Sim,134,6462.85
Belo Horizonte,Rio de Janeiro,Gol,Airbus A330,0,154,Não,64,1806.5
Brasília,Salvador,Avianca,Boeing 777,0,85,Não,84,11143.84
Fortaleza,Brasília,Avianca,Boeing 737,0,210,Não,137,7883.86
Fortaleza,São Paulo,LATAM,Boeing 777,0,106,Não,206,3869.28
Curitiba,Rio de Janeiro,LATAM,Embraer 195,0,69,Não,118,7184.42
Belo Horizonte,Recife,Azul,Airbus A330,0,209,Não,179,14028.2
Salvador,São Paulo,LATAM,Airbus A320,0,174,Não,83,11060.27
Fortaleza,Salvador,Azul,Embraer 195,28,175,Não,196,8471.99
Fortaleza,Salvador,Avianca,Airbus A330,0,54,Não,173,11755.14
Rio de Janeiro,São Paulo,Azul,Boeing 737,0,195,Não,238,1599.26
Rio de Janeiro,Recife,Avianca,Boeing 777,0,174,Não,137,12511.92
Rio de Janeiro,Recife,Gol,Airbus A330,0,154,Não,106,8666.14
Recife,Fortaleza,Gol,Airbus A330,0,52,Não,129,6904.91
Curitiba,Fortaleza,Avianca,Embraer 195,0,201,Não,150,1735.53
Curitiba,Recife,Avianca,Airbus A320,0,47,Não,59,9571.39
Brasília,Rio de Janeiro,LATAM,Airbus A330,0,113,Não,153,9932.64
São Paulo,Fortaleza,Avianca,Airbus A330,0,133,Não,201,2411.65
Recife,Rio de Janeiro,Avianca,Boeing 777,0,85,Não,97,4871.72
São Paulo,Recife,Azul,Boeing 777,144,76,Não,210,2970.92
Salvador,Recife,Gol,Airbus A330,29,229,Não,200,2657.5
Rio de Janeiro,Belo Horizonte,Azul,Boeing 737,0,49,Não,247,8952.28
Belo Horizonte,São Paulo,Gol,Airbus A330,19,187,Não,75,2561.83
Fortaleza,Rio de Janeiro,Gol,Boeing 737,99,156,Não,181,1484.36
Salvador,Recife,Gol,Airbus A330,0,172,Não,244,10911.93
Rio de Janeiro,Belo Horizonte,Gol,Airbus A330,6,107,Não,172,1013.43
Curitiba,Rio de Janeiro,Azul,Boeing 737,64,83,Sim,247,8268.65
Curitiba,Fortaleza,LATAM,Airbus A330,68,167,Não,240,14165.3
São Paulo,Rio de Janeiro,Gol,Boeing 777,0,180,Não,124,3530.67
Brasília,Fortaleza,Azul,Airbus A330,0,189,Não,216,9245.57
São Paulo,Recife,Avianca,Embraer 195,147,72,Não,132,2713.55
Rio de Janeiro,Curitiba,Avianca,Boeing 737,0,218,Não,241,2335.18
Curitiba,Recife,LATAM,Boeing 737,0,229,Não,143,1365.94
Fortaleza,Belo Horizonte,Gol,Airbus A330,179,235,Sim,95,3032.19
Brasília,Rio de Janeiro,LATAM,Boeing 737,0,206,Não,230,1493.88
Belo Horizonte,Fortaleza,Gol,Airbus A320,0,216,Não,200,11996.9
Curitiba,Rio de Janeiro,Azul,Airbus A330,88,169,Não,140,14624.18
Recife,Fortaleza,Gol,Airbus A330,0,168,Não,154,12115.15
Rio de Janeiro,São Paulo,Avianca,Airbus A320,0,218,Não,249,13390.09
Fortaleza,Salvador,Avianca,Airbus A320,0,223,Não,81,9589.25
Salvador,Curitiba,Avianca,Embraer 195,0,237,Não,146,12827.94
Recife,Belo Horizonte,Avianca,Boeing 737,0,74,Não,124,12052.35
Salvador,Rio de Janeiro,Azul,Boeing 777,0,228,Não,171,7098.4
Fortaleza,Curitiba,Gol,Boeing 737,0,80,Não,189,9361.32
Belo Horizonte,Rio de Janeiro,Azul,Airbus A330,0,69,Não,164,11946.94
Salvador,Belo Horizonte,LATAM,Airbus A320,0,156,Não,138,6332.02
Fortaleza,Belo Horizonte,Azul,Airbus A330,22,207,Não,112,8726.01
Rio de Janeiro,Brasília,Azul,Boeing 737,88,134,Não,245,2679.75
Recife,Fortaleza,Azul,Boeing 737,0,155,Não,121,1017.76
Rio de Janeiro,Brasília,Gol,Airbus A320,0,120,Não,160,2742.31
Recife,Fortaleza,Gol,Boeing 777,0,110,Não,208,2914.53
Curitiba,Recife,LATAM,Boeing 737,8,161,Não,204,14561.67
Salvador,Rio de Janeiro,LATAM,Airbus A330,68,164,Não,204,9167.03
Fortaleza,Belo Horizonte,Gol,Embraer 195,0,117,Não,76,13402.13
São Paulo,Curitiba,LATAM,Airbus A320,0,175,Não,135,9833.82
Rio de Janeiro,Belo Horizonte,Azul,Embraer 195,155,87,Não,119,5199.77
Fortaleza,Belo Horizonte,Gol,Boeing 777,0,181,Não,52,7142.86
Curitiba,Rio de Janeiro,Azul,Airbus A320,0,88,Não,153,2874.55
Brasília,Salvador,LATAM,Airbus A320,0,236,Sim,144,11307.2
Rio de Janeiro,Belo Horizonte,LATAM,Embraer 195,0,98,Não,246,8964.43
Brasília,Curitiba,Avianca,Boeing 777,0,98,Não,67,14539.05
Belo Horizonte,Curitiba,Azul,Boeing 777,46,125,Não,107,5085.06
Recife,Salvador,Azul,Embraer 195,0,209,Não,189,3147.21
Brasília,Rio de Janeiro,Avianca,Embraer 195,19,48,Não,169,1323.52
Recife,Salvador,Azul,Boeing 777,129,91,Não,101,1902.23
São Paulo,Brasília,Azul,Boeing 777,0,167,Não,200,8810.05
Fortaleza,São Paulo,Azul,Boeing 777,0,223,Não,141,9539.37
Rio de Janeiro,Recife,Avianca,Boeing 737,0,51,Sim,86,7526.14
Recife,Curitiba,Azul,Boeing 737,0,179,Não,111,4274.45
Belo Horizonte,Brasília,Gol,Boeing 777,0,49,Não,80,1466.03
Curitiba,São Paulo,Gol,Boeing 737,75,189,Não,82,2169.07
Belo Horizonte,Fortaleza,LATAM,Boeing 777,121,222,Não,165,7155.77
Brasília,São Paulo,LATAM,Boeing 737,0,71,Não,225,8120.37
Fortaleza,Curitiba,Azul,Boeing 777,38,225,Não,102,2612.27
Fortaleza,Curitiba,LATAM,Airbus A330,0,64,Não,238,9240.05
Fortaleza,Rio de Janeiro,LATAM,Boeing 777,0,90,Não,83,4437.8
Curitiba,Fortaleza,Azul,Airbus A330,0,193,Não,233,3273.58
